election_type,province,constituency,amphoe,tambon,unit,turnout_rate,spoiled_rate,abstain_rate,ocr_vote_diff_abs,outlier_score
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,5,0.9333333333333333,0.17142857142857143,0.07142857142857142,15,6.710669989693187
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,6,0.6405228758169934,0.01020408163265306,0.030612244897959183,0,1.2930651526694563
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,8,0.40831758034026466,0.027777777777777776,0.018518518518518517,0,2.4452545424557535
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,1,0.7056603773584905,0.008021390374331552,0.040106951871657755,0,1.4347715884398042
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,12,0.7988826815642458,0.027972027972027972,0.04195804195804196,0,1.3928656776130364
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,2,0.6962457337883959,0.014705882352941176,0.0196078431372549,0,1.4706654699622217
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลก่อเอ้,3,0.6057441253263708,0.03879310344827586,0.034482758620689655,1,0.9563760421045617
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,10,0.5541310541310541,0.02313624678663239,0.017994858611825194,0,1.6429936362624624
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,2,0.7089285714285715,0.020151133501259445,0.0,0,1.6768440551638597
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,3,0.6230636833046471,0.011049723756906077,0.022099447513812154,0,1.5084805589666181
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,4,0.6071428571428571,0.07058823529411765,0.023529411764705882,64,3.3819608827972765
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,5,0.23658269441401972,0.0,0.027777777777777776,0,4.302277415369457
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,6,0.6659751037344398,0.009345794392523364,0.012461059190031152,0,1.5472763900955402
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,7,0.5306859205776173,0.05442176870748299,0.013605442176870748,0,2.2787388968207374
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,8,0.6132596685082873,0.02702702702702703,0.009009009009009009,0,1.2682001291328486
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,1,0.5726256983240223,0.00975609756097561,0.01951219512195122,0,1.9182857670738958
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,10,1.0,0.043596730245231606,0.01634877384196185,0,3.323078053312229
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,11,0.5613496932515337,0.00819672131147541,0.01092896174863388,0,2.1695890161146716
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,2,,,,0,0.27764619947435665
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,3,0.6089887640449438,0.01845018450184502,0.01107011070110701,0,1.5340398570128724
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,4,0.6693163751987281,0.0166270783847981,0.47268408551068886,0,7.244918180918788
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,6,0.5711678832116789,0.025559105431309903,0.012779552715654952,80,3.230338330535451
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,7,0.5172413793103449,0.024242424242424242,0.01818181818181818,0,1.8472769302381322
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,8,0.6231003039513677,0.00975609756097561,0.0,2,1.8234593419632685
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,9,0.6538461538461539,0.023529411764705882,0.023529411764705882,0,0.8943411097660295
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,1,0.3534798534798535,0.031088082901554404,0.0051813471502590676,40,3.4713980401747913
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,10,0.43434343434343436,0.0664451827242525,0.0033222591362126247,0,3.440800483355628
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,11,0.4542314335060449,0.04182509505703422,0.015209125475285171,0,2.361065271203114
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,12,0.3717357910906298,0.012396694214876033,0.008264462809917356,0,3.320462383971197
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,3,0.438,0.0045662100456621,0.0045662100456621,2,3.130652822976832
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,5,0.5641476274165202,0.028037383177570093,0.009345794392523364,0,1.5533358347804829
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,7,0.439453125,0.04888888888888889,0.0,0,2.9070168134806735
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,8,0.5025380710659898,0.03367003367003367,0.013468013468013467,8,1.5898698512460092
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,9,,,,0,0.27764619947435665
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,1,0.539047619047619,0.028268551236749116,0.0176678445229682,40,2.1566816020726125
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,10,0.7222222222222222,0.022267206477732792,0.010121457489878543,1,1.5179164944856003
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,3,0.6095617529880478,0.030501089324618737,0.006535947712418301,0,1.2206264919903553
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,4,0.597972972972973,0.02824858757062147,0.01694915254237288,0,1.211180413878865
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,6,0.6012658227848101,0.02631578947368421,0.031578947368421054,0,1.0310439451535727
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,7,1.0,0.047619047619047616,0.014285714285714285,1,3.4518497140088455
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,8,0.634375,0.03940886699507389,0.0049261083743842365,2,1.2025758211807918
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,9,0.6021699819168174,0.02702702702702703,0.003003003003003003,10,1.1570432100141785
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,3,0.6347826086956522,0.0547945205479452,0.0136986301369863,9,1.3535083596704522
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,4,0.822429906542056,0.028409090909090908,,1,1.4526024132611088
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,5,0.6423076923076924,0.059880239520958084,0.029940119760479042,0,1.4736423834970505
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,6,0.5945017182130584,0.005780346820809248,0.014450867052023121,40,2.5460478409218306
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,8,0.5873015873015873,0.030405405405405407,0.02364864864864865,3,1.028742073283972
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,1,0.7958883994126285,0.02029520295202952,0.016605166051660517,2,1.9371828294630504
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,2,0.7919161676646707,0.017013232514177693,0.003780718336483932,0,2.2623577909041037
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,3,1.0,0.011627906976744186,0.011627906976744186,0,3.6771473862670376
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,4,0.6381987577639752,0.021897810218978103,0.031630170316301706,0,0.926672207762983
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,5,0.6704545454545454,0.031073446327683617,0.03954802259887006,30,0.7794276597028824
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,6,0.6441048034934498,0.023728813559322035,0.03728813559322034,0,0.7458610045540052
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,1,0.31063829787234043,0.0136986301369863,0.0136986301369863,0,3.598659251812082
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,10,0.6770833333333334,0.035897435897435895,0.020512820512820513,55,1.896396975391111
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,11,0.5882352941176471,0.025,0.02,0,1.3310806034774205
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,12,0.5088757396449705,0.03488372093023256,,0,1.3321434948542028
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,3,0.6990654205607477,0.016042780748663103,0.016042780748663103,0,1.5006516365200786
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,4,0.6697080291970803,0.0027247956403269754,0.008174386920980926,0,1.8433844827680048
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,5,0.6254681647940075,0.005988023952095809,0.041916167664670656,10,1.0807290877328108
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,7,0.5711538461538461,0.006734006734006734,0.006734006734006734,30,2.5032369012425164
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,8,0.6538461538461539,0.03235294117647059,0.03235294117647059,0,0.4994319235014455
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,9,,,,0,0.27764619947435665
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลยางขี้นก,10,0.6655629139072847,0.03482587064676617,0.029850746268656716,0,0.6544595086451614
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลยางขี้นก,3,0.6892109500805152,0.02336448598130841,0.007009345794392523,0,1.3419738732117392
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลยางขี้นก,5,,,,0,0.27764619947435665
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลยางขี้นก,7,0.7542857142857143,0.007575757575757576,0.007575757575757576,11,2.0089778610170184
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลยางขี้นก,9,0.7120622568093385,0.01092896174863388,0.2459016393442623,0,4.306975159717427
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลศรีสุข,1,0.5433070866141733,0.028985507246376812,0.007246376811594203,0,1.6916435225111635
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลศรีสุข,2,,,,3,0.19319318054875712
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลศรีสุข,3,0.6224137931034482,0.0221606648199446,0.002770083102493075,0,1.4541230851895988
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลศรีสุข,4,0.6332288401253918,0.03712871287128713,0.01485148514851485,0,1.0462936503148401
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลศรีสุข,5,0.6828571428571428,0.03347280334728033,0.0041841004184100415,0,1.1098140384978132
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลศรีสุข,8,0.6375,0.03431372549019608,0.00980392156862745,2,0.9494045988151446
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,10,0.6614173228346457,0.017857142857142856,0.023809523809523808,0,1.0807696430990332
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,11,0.7294429708222812,0.025454545454545455,0.025454545454545455,0,1.2638746110282704
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,13,,,,0,0.27764619947435665
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,14,0.55625,0.025280898876404494,0.008426966292134831,15,1.5721875922527855
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,15,0.6615384615384615,0.023255813953488372,0.009966777408637873,0,1.1197441631229963
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,16,0.9560439560439561,0.022988505747126436,0.022988505747126436,12,2.645528261567421
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,17,0.3948087431693989,0.02768166089965398,0.010380622837370242,0,2.658674257475912
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,2,0.7400662251655629,0.03131991051454139,0.008948545861297539,4,1.2843326763846556
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,3,1.0,0.024691358024691357,0.01728395061728395,0,3.1831429063492056
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,4,0.7771587743732591,0.014336917562724014,0.0035842293906810036,4,2.1398420558313456
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,5,0.6479217603911981,0.03018867924528302,0.026415094339622643,0,0.6813022952687717
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,7,0.6614173228346457,0.0,0.0,3,1.9124028287058206
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,8,0.6614173228346457,0.0,0.0,3,1.9124028287058206
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,9,,,,0,0.27764619947435665
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสหธาตุ,2,0.5954198473282443,0.04700854700854701,0.008547008547008548,0,1.6980292660158234
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสหธาตุ,3,0.665903890160183,0.03436426116838488,0.013745704467353952,0,0.8834412632279656
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสหธาตุ,4,0.7316017316017316,0.029585798816568046,0.023668639053254437,0,1.175332521082919
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสหธาตุ,5,,,,0,0.27764619947435665
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหนองเหล่า,1,0.7112526539278131,0.026865671641791045,0.01791044776119403,80,2.910238098979531
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหนองเหล่า,3,,,,13,0.08831688253657467
constituency,อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหนองเหล่า,4,0.661504424778761,0.026755852842809364,0.010033444816053512,2,0.9525605578378313
