comparison_party,recent_votes,previous_votes,vote_change,change_pct_vs_previous
ประชาชน,7919,30677,-22758,-0.7418587215177495
เพื่อไทย,5788,33259,-27471,-0.8259719173757479
ไทรวมพลัง,5665,0,5665,
ภูมิใจไทย,3716,833,2883,3.460984393757503
พลังไทยรักชาติ,3567,0,3567,
กล้าธรรม,3514,0,3514,
เศรษฐกิจ,1493,0,1493,
รวมใจไทย,1409,0,1409,
ประชาธิปัตย์,1245,11447,-10202,-0.8912378789202411
ไทยทรัพย์ทวี,1218,0,1218,
