cluster,polling_stations,avg_turnout_rate,avg_spoiled_rate,avg_abstain_rate,avg_share_ไทรวมพลัง,avg_share_กล้าธรรม,avg_share_ประชาชน,avg_share_เพื่อไทย,avg_share_ภูมิใจไทย,avg_share_เศรษฐกิจ,avg_share_ไทยก้าวใหม่,avg_share_ประชาธิปัตย์
0,41,0.6532796174045287,0.046609317184660895,0.10350431436005467,0.223534860883557,0.2561630520196944,0.28338644920453065,0.1106847975497922,0.0743588772792676,0.027932785091124814,0.005168887091155813,0.018770290880877467
1,93,0.48173649138847024,0.023147806957340766,0.017824846056559807,0.5457764762993735,0.2991103547063673,0.07810976770021102,0.029433974844990104,0.010910367637167673,0.009664341551079784,0.0014306026500002901,0.004058738266724252
2,67,0.6642439319509441,0.025678565383520494,0.03206403937717117,0.3342264807674665,0.540537507833456,0.07032626593742067,0.030262017884846046,0.013444562928314661,0.007423439734008487,0.0007837624906100149,0.002995962423877687
3,3,0.702055993000875,0.0,0.0,0.323690241646898,0.0007974481658692185,0.005582137161084529,0.007197137228096981,0.0028011204481792717,0.0028011204481792717,0.6543296744535135,0.0028011204481792717
