province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,winner_party,winner_votes,election_type,polling_station_id,total_party_votes_at_station,winner_share,rank,runner_up_party,runner_up_votes,runner_up_share,margin_votes,margin_share
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,15,party_list,402.0,328.0,400.0,328.0,314.0,5.0,9.0,72.0,350,350,314,36,ไทรวมพลัง,74,party_list,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|15,350,0.21142857142857144,1.0,เพื่อไทย,67,0.19142857142857142,7,0.020000000000000018
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,2,party_list,584.0,475.0,580.0,475.0,451.0,15.0,9.0,105.0,451,451,451,0,ประชาชน,123,party_list,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|2,451,0.2727272727272727,1.0,เพื่อไทย,106,0.23503325942350334,17,0.03769401330376937
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,4,party_list,505.0,,520.0,418.0,397.0,41.0,10.0,102.0,302,302,397,-95,ประชาชน,84,party_list,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|4,301,0.27906976744186046,1.0,เพื่อไทย,43,0.14285714285714285,41,0.1362126245847176
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,6,party_list,523.0,476.0,415.0,415.0,415.0,19.0,,84.0,407,407,415,-8,ไทรวมพลัง,148,party_list,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|6,406,0.3645320197044335,1.0,เป็นธรรม,96,0.23645320197044334,52,0.12807881773399016
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,7,party_list,643.0,486.0,640.0,486.0,457.0,17.0,12.0,154.0,286,286,457,-171,ประชาชน,98,party_list,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|7,286,0.34265734265734266,1.0,ภูมิใจไทย,49,0.17132867132867133,49,0.17132867132867133
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,8,party_list,985.0,,380.0,316.0,301.0,12.0,3.0,67.0,250,250,301,-51,ไทรวมพลัง,100,party_list,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|8,250,0.4,1.0,ประชาชน,60,0.24,40,0.16000000000000003
อุบลราชธานี,2,ตำบลเขื่องใน,เขตตำบลเขื่องใน,10,party_list,927.0,480.0,920.0,480.0,434.0,35.0,11.0,240.0,415,415,434,-19,ไทรวมพลัง,90,party_list,อุบลราชธานี|2|ตำบลเขื่องใน|เขตตำบลเขื่องใน|10,415,0.21686746987951808,1.0,กล้าธรรม,62,0.1493975903614458,28,0.06746987951807229
อุบลราชธานี,2,ตำบลเขื่องใน,เขตตำบลเขื่องใน,11,party_list,529.0,325.0,520.0,325.0,305.0,19.0,1.0,195.0,279,279,305,-26,ไทรวมพลัง,63,party_list,อุบลราชธานี|2|ตำบลเขื่องใน|เขตตำบลเขื่องใน|11,279,0.22580645161290322,1.0,ภูมิใจไทย,40,0.14336917562724014,23,0.08243727598566308
อุบลราชธานี,2,ตำบลเขื่องใน,เขตตำบลเขื่องใน,7,party_list,405.0,291.0,400.0,291.0,268.0,18.0,5.0,109.0,204,204,268,-64,ประชาชน,70,party_list,อุบลราชธานี|2|ตำบลเขื่องใน|เขตตำบลเขื่องใน|7,204,0.3431372549019608,1.0,กล้าธรรม,52,0.2549019607843137,18,0.08823529411764708
อุบลราชธานี,2,ตำบลเขื่องใน,เขตตำบลเขื่องใน,8,party_list,902.0,608.0,900.0,608.0,557.0,43.0,8.0,292.0,557,557,557,0,ประชาชน,101,party_list,อุบลราชธานี|2|ตำบลเขื่องใน|เขตตำบลเขื่องใน|8,557,0.1813285457809695,1.0,กล้าธรรม,85,0.1526032315978456,16,0.02872531418312388
อุบลราชธานี,2,ตำบลเขื่องใน,เขตตำบลเขื่องใน,9,party_list,136.0,104.0,120.0,104.0,99.0,5.0,,16.0,57,57,99,-42,ฟิวชัน,22,party_list,อุบลราชธานี|2|ตำบลเขื่องใน|เขตตำบลเขื่องใน|9,57,0.38596491228070173,1.0,คลองไทย,13,0.22807017543859648,9,0.15789473684210525
อุบลราชธานี,2,ตำบลเขื่องใน,เขตเทศบาล และนอกเขต,0,party_list,581.0,419.0,580.0,419.0,391.0,19.0,9.0,161.0,451,451,391,60,เพื่อไทย,99,party_list,อุบลราชธานี|2|ตำบลเขื่องใน|เขตเทศบาล และนอกเขต|0,451,0.21951219512195122,1.0,กล้าธรรม,87,0.19290465631929046,12,0.026607538802660757
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,1,party_list,536.0,283.0,520.0,283.0,268.0,13.0,2.0,237.0,264,264,268,-4,ประชาชน,68,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลกลางใหญ่|1,264,0.25757575757575757,1.0,กล้าธรรม,51,0.19318181818181818,17,0.06439393939393939
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,10,party_list,353.0,130.0,340.0,130.0,127.0,3.0,2.0,210.0,137,137,127,10,เพื่อไทย,43,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลกลางใหญ่|10,137,0.31386861313868614,1.0,กล้าธรรม,21,0.15328467153284672,22,0.16058394160583941
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,11,party_list,302.0,183.0,300.0,183.0,174.0,6.0,3.0,117.0,145,145,174,-29,กล้าธรรม,64,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลกลางใหญ่|11,145,0.4413793103448276,1.0,ไทรวมพลัง,37,0.25517241379310346,27,0.18620689655172412
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลกลางใหญ่,3,party_list,409.0,222.0,403.0,222.0,213.0,6.0,3.0,176.0,213,213,213,0,กล้าธรรม,56,party_list,อุบลราชธานี|2|อำเภอเขื่องใน|ตำบลกลางใหญ่|3,213,0.26291079812206575,1.0,ประชาชน,30,0.14084507042253522,26,0.12206572769953053
