province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,winner_party,winner_votes,election_type,polling_station_id,total_party_votes_at_station,winner_share,rank,runner_up_party,runner_up_votes,runner_up_share,margin_votes,margin_share
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,5,constituency,754.0,443.0,740.0,443.0,416.0,20.0,7.0,297.0,416,416,416,0,กล้าธรรม,182,constituency,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|5,416,0.4375,1.0,ประชาชน,71,0.17067307692307693,111,0.2668269230769231
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,6,constituency,477.0,266.0,440.0,266.0,246.0,10.0,10.0,174.0,246,246,246,0,ไทรวมพลัง,108,constituency,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|6,245,0.44081632653061226,1.0,กล้าธรรม,78,0.3183673469387755,30,0.12244897959183676
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,7,constituency,460.0,319.0,460.0,319.0,291.0,12.0,16.0,141.0,291,291,291,0,ไทรวมพลัง,112,constituency,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|7,291,0.3848797250859107,1.0,กล้าธรรม,99,0.3402061855670103,13,0.04467353951890035
อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,9,constituency,425.0,269.0,420.0,269.0,256.0,10.0,3.0,151.0,326,326,256,70,ไทรวมพลัง,61,constituency,อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|9,213,0.2863849765258216,1.0,เพื่อไทย,39,0.18309859154929578,22,0.10328638497652584
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,1,constituency,879.0,431.0,560.0,431.0,406.0,10.0,15.0,129.0,406,406,406,0,ไทรวมพลัง,208,constituency,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|1,406,0.5123152709359606,1.0,กล้าธรรม,102,0.2512315270935961,106,0.26108374384236455
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,10,constituency,385.0,,380.0,316.0,307.0,6.0,2.0,64.0,308,308,307,1,ไทรวมพลัง,223,constituency,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|10,308,0.724025974025974,1.0,กล้าธรรม,45,0.1461038961038961,178,0.577922077922078
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,11,constituency,590.0,480.0,580.0,480.0,455.0,9.0,16.0,106.0,455,455,455,0,ไทรวมพลัง,195,constituency,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|11,455,0.42857142857142855,1.0,กล้าธรรม,181,0.3978021978021978,14,0.03076923076923077
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,12,constituency,481.0,403.0,480.0,403.0,389.0,8.0,8.0,23.0,398,398,389,9,ไทรวมพลัง,164,constituency,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|12,398,0.4120603015075377,1.0,กล้าธรรม,159,0.39949748743718594,5,0.012562814070351758
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,13,constituency,418.0,394.0,400.0,374.0,312.0,13.0,9.0,66.0,312,312,312,0,ไทรวมพลัง,142,constituency,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|13,312,0.4551282051282051,1.0,กล้าธรรม,113,0.36217948717948717,29,0.09294871794871795
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,14,constituency,333.0,271.0,320.0,271.0,264.0,4.0,3.0,49.0,264,264,264,0,ไทรวมพลัง,192,constituency,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|14,264,0.7272727272727273,1.0,กล้าธรรม,38,0.14393939393939395,154,0.5833333333333334
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,15,constituency,402.0,92.0,400.0,328.0,309.0,6.0,13.0,72.0,315,315,309,6,ไทรวมพลัง,170,constituency,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|15,315,0.5396825396825397,1.0,กล้าธรรม,80,0.25396825396825395,90,0.2857142857142857
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,2,constituency,584.0,,580.0,475.0,460.0,6.0,9.0,105.0,463,463,460,3,ไทรวมพลัง,242,constituency,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|2,463,0.5226781857451404,1.0,กล้าธรรม,142,0.30669546436285094,100,0.2159827213822894
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,4,constituency,525.0,,520.0,418.0,400.0,10.0,6.0,102.0,400,400,400,0,ไทรวมพลัง,211,constituency,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|4,400,0.5275,1.0,กล้าธรรม,113,0.2825,98,0.245
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,5,constituency,680.0,,680.0,517.0,498.0,12.0,7.0,163.0,498,498,498,0,ไทรวมพลัง,256,constituency,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|5,498,0.5140562248995983,1.0,กล้าธรรม,152,0.30522088353413657,104,0.20883534136546178
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,7,constituency,643.0,,640.0,486.0,461.0,14.0,11.0,154.0,461,461,461,0,ไทรวมพลัง,226,constituency,อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|7,461,0.49023861171366595,1.0,กล้าธรรม,148,0.3210412147505423,78,0.16919739696312364
