province,constituency,amphoe,tambon,polling_stations,eligible_voters,turnout,valid_ballots,spoiled_ballots,abstain_ballots,turnout_rate,spoiled_rate,abstain_rate,election_type
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลค้อทอง,5,2603.0,1260.0,1194.0,110.0,72.0,0.4840568574721475,0.0873015873015873,0.05714285714285714,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลชีทวน,4,1685.0,648.0,797.0,70.0,16.0,0.3845697329376855,0.10802469135802469,0.024691358024691357,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลท่าไห,8,4124.0,1029.0,1717.0,130.0,20.0,0.24951503394762367,0.12633624878522837,0.019436345966958212,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลธาตุน้อย,3,1984.0,1196.0,1099.0,82.0,25.0,0.6028225806451613,0.06856187290969899,0.020903010033444816,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,4,1459.0,782.0,798.0,71.0,19.0,0.5359835503769705,0.0907928388746803,0.024296675191815855,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,5,2510.0,1113.0,2058.0,67.0,38.0,0.4434262948207171,0.06019766397124888,0.034141958670260555,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,3,1380.0,856.0,807.0,46.0,33.0,0.6202898550724638,0.053738317757009345,0.038551401869158876,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลยางขี้นก,7,2914.0,1767.0,1839.0,114.0,70.0,0.6063829787234043,0.06451612903225806,0.039615166949632144,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลศรีสุข,4,2256.0,1375.0,1256.0,65.0,14.0,0.6094858156028369,0.04727272727272727,0.010181818181818183,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสร้างถ่อ,5,2000.0,1364.0,1232.0,59.0,53.0,0.682,0.04325513196480939,0.038856304985337244,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลสหธาตุ,3,882.0,546.0,546.0,40.0,10.0,0.6190476190476191,0.07326007326007326,0.018315018315018316,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหนองเหล่า,4,2100.0,1447.0,1349.0,72.0,23.0,0.689047619047619,0.0497581202487906,0.015894955079474776,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลหัวดอน,8,4066.0,2023.0,2363.0,124.0,61.0,0.4975405804230202,0.06129510627780524,0.030153237765694514,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลแดงหม้อ,2,686.0,420.0,405.0,4.0,3.0,0.6122448979591837,0.009523809523809525,0.007142857142857143,party_list
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลโนนรัง,1,527.0,308.0,290.0,11.0,7.0,0.5844402277039848,0.03571428571428571,0.022727272727272728,party_list
อุบลราชธานี,2,เขต 2 อ.เมืองฯ,ตำบลหนองขอน,6,2558.0,1677.0,1576.0,99.0,97.0,0.6555903049257232,0.059033989266547404,0.057841383422778773,party_list
อุบลราชธานี,2,เขตไร่น้อย,เขตไร่น้อย,31,16692.0,10824.0,10612.0,756.0,557.0,0.6484543493889289,0.06984478935698447,0.05145971914264597,party_list
