election_type,polling_stations,eligible_voters,turnout,valid_ballots,spoiled_ballots,abstain_ballots,turnout_rate,valid_rate,spoiled_rate,abstain_rate,ocr_abs_diff_total
constituency,204,98561.0,56615.0,60818.0,1884.0,2786.0,0.5744158439950894,1.0742382760752451,0.033277399982336836,0.04920957343460214,2012
party_list,142,70595.0,40470.0,42362.0,2542.0,1435.0,0.5732700616190949,1.0467506795156907,0.06281195947615517,0.03545836422041018,8268
