province,constituency,amphoe,tambon,party,const_votes,party_list_votes,const_total,party_list_total,const_share,party_list_share,share_gap,abs_share_gap
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,รักชาติ,0.0,0,3605.0,988,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,วิชชั่นใหม่,0.0,7,3605.0,988,0.0,0.00708502024291498,-0.00708502024291498,0.00708502024291498
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,สร้างอนาคตไทย,0.0,2,3605.0,988,0.0,0.0020242914979757085,-0.0020242914979757085,0.0020242914979757085
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,สังคมประชาธิปไตยไทย,0.0,0,3605.0,988,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,อนาคตไทย,0.0,0,3605.0,988,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,เครือข่ายชาวนาแห่งประเทศไทย,0.0,0,3605.0,988,0.0,0.0,0.0,0.0
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,เป็นธรรม,0.0,1,3605.0,988,0.0,0.0010121457489878543,-0.0010121457489878543,0.0010121457489878543
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,เพื่อชาติไทย,0.0,15,3605.0,988,0.0,0.015182186234817813,-0.015182186234817813,0.015182186234817813
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,เพื่อชีวิตใหม่,0.0,2,3605.0,988,0.0,0.0020242914979757085,-0.0020242914979757085,0.0020242914979757085
อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,เพื่อบ้านเมือง,0.0,0,3605.0,988,0.0,0.0,0.0,0.0
