polling_station_id,กล้าธรรม,ประชาชน,พลังไทยรักชาติ,ภูมิใจไทย,รวมใจไทย,เพื่อไทย,เศรษฐกิจ,ไทรวมพลัง,turnout_rate,spoiled_rate,abstain_rate,cluster,province,constituency,amphoe,tambon,unit,election_type,pca_1,pca_2
อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|3,0.0,0.0,0.0,0.0,0.08035714285714286,0.24107142857142858,0.05357142857142857,0.625,0.8083941605839416,0.056433408577878104,0.02708803611738149,1,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,3,party_list,-2.2573412022136847,1.8229178797512204
อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|4,0.0,0.0,0.0,0.0,0.09090909090909091,0.3492822966507177,0.05741626794258373,0.5023923444976076,0.7864823348694316,0.052734375,0.041015625,1,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,4,party_list,-2.040152708796468,2.0982165468114533
อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|5,0.13114754098360656,0.2814207650273224,0.00273224043715847,0.09289617486338798,0.030054644808743168,0.1448087431693989,0.06557377049180328,0.25136612021857924,0.8169491525423729,0.04771784232365145,0.024896265560165973,1,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,5,party_list,0.26850920769685593,0.5195299741003078
อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,9,party_list,-1.3256738892770092,-1.9214049201905368
อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|1,0.4251012145748988,0.08097165991902834,0.0,0.020242914979757085,0.0,0.1214574898785425,0.016194331983805668,0.3360323886639676,0.7918918918918919,0.051194539249146756,0.08873720136518772,1,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,1,party_list,0.4493457422872671,0.6877441937303364
อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|2,0.15,0.18,0.0,0.03,0.02,0.35,0.065,0.205,0.7918918918918919,0.051194539249146756,0.07508532423208192,1,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,2,party_list,0.1794397224736911,1.7006942992097305
อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|3,0.03896103896103896,0.0,0.0,0.1341991341991342,0.08225108225108226,0.42424242424242425,0.04329004329004329,0.27705627705627706,0.6439873417721519,0.036855036855036855,0.019656019656019656,1,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,3,party_list,-1.380352890881857,1.0582696344292248
อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|6,0.1554054054054054,0.25675675675675674,0.0,0.12162162162162163,0.07432432432432433,0.38513513513513514,0.006756756756756757,0.0,0.5820568927789934,0.03759398496240601,0.018796992481203006,3,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,6,party_list,0.13043745191953413,0.19563671830868862
อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|9,0.1308411214953271,0.1822429906542056,0.0,0.1542056074766355,0.018691588785046728,0.1822429906542056,0.04672897196261682,0.2850467289719626,0.6329411764705882,0.03717472118959108,0.011152416356877323,1,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,9,party_list,-0.13024904484360061,-0.03440002136012223
อุบลราชธานี|2|ตำบลหัวเรือ|ตำบลหัวเรือ|1,0.0,0.0,0.8704103671706264,0.08639308855291576,0.04103671706263499,0.0021598272138228943,0.0,0.0,0.756140350877193,0.03248259860788863,0.03248259860788863,2,อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,1,party_list,-1.064010999404336,-1.869616194905955
