polling_station_id,กล้าธรรม,ประชาชน,ประชาธิปัตย์,ภูมิใจไทย,เพื่อไทย,เศรษฐกิจ,ไทยก้าวใหม่,ไทรวมพลัง,turnout_rate,spoiled_rate,abstain_rate,cluster,province,constituency,amphoe,tambon,unit,election_type,pca_1,pca_2
อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|1,0.17117117117117117,0.09309309309309309,0.0,0.03303303303303303,0.0990990990990991,0.009009009009009009,0.009009009009009009,0.5855855855855856,0.7860696517412935,0.022151898734177215,0.04430379746835443,1,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,1,constituency,-0.17264575434224147,-0.7445386386158209
อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|11,0.1953125,0.1328125,0.0,0.015625,0.0703125,0.0078125,0.0,0.578125,0.845679012345679,0.032846715328467155,0.029197080291970802,1,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,11,constituency,-0.3189558271514548,-0.4391132033958172
อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|2,0.2616407982261641,0.11086474501108648,0.008869179600886918,0.015521064301552107,0.026607538802660754,0.011086474501108648,0.004434589800443459,0.5609756097560976,0.7433070866141732,0.019067796610169493,0.025423728813559324,1,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,2,constituency,-0.30605008305183534,-0.5427689216610851
อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|3,0.20947630922693267,0.10723192019950124,0.007481296758104738,0.014962593516209476,0.06483790523690773,0.00997506234413965,0.004987531172069825,0.5810473815461347,0.8083941605839416,0.05869074492099323,0.03611738148984198,1,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,3,constituency,0.038905650175781605,-0.28789763335787916
อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|4,0.24946695095948826,0.14285714285714285,0.0042643923240938165,0.02771855010660981,0.03411513859275053,0.0042643923240938165,0.0021321961620469083,0.535181236673774,0.7792998477929984,0.02734375,0.041015625,1,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,4,constituency,-0.04540006469128777,-0.2514371122633039
อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|5,0.4838709677419355,0.15668202764976957,0.002304147465437788,0.029953917050691243,0.04377880184331797,0.016129032258064516,0.002304147465437788,0.26497695852534564,0.8169491525423729,0.03734439834024896,0.05394190871369295,2,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,5,constituency,0.44089400942009255,1.187369863143344
อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|6,0.36200716845878134,0.10215053763440861,0.0017921146953405018,0.014336917562724014,0.034050179211469536,0.014336917562724014,0.0017921146953405018,0.46953405017921146,0.07049608355091384,0.2962962962962963,0.3333333333333333,0,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,6,constituency,2.257504246019287,3.2232440849060544
อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|7,0.35684647302904565,0.22406639004149378,0.012448132780082987,0.058091286307053944,0.1037344398340249,0.012448132780082987,0.004149377593360996,0.22821576763485477,0.7192982456140351,0.04878048780487805,0.08013937282229965,0,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,7,constituency,2.093186771740886,0.6323137426160538
อุบลราชธานี|2|ตำบลขี้เหล็ก|ตำบลขี้เหล็ก|8,0.3227990970654628,0.09480812641083522,0.011286681715575621,0.004514672686230248,0.020316027088036117,0.009029345372460496,0.002257336343115124,0.5349887133182845,0.8393501805054152,0.023655913978494623,0.021505376344086023,1,อุบลราชธานี,2,ตำบลขี้เหล็ก,ตำบลขี้เหล็ก,8,constituency,-0.4250654374578833,-0.10730092910305863
อุบลราชธานี|2|ตำบลปะอาว|ตำบลปะอาว|1,0.42473118279569894,0.12365591397849462,0.0,0.016129032258064516,0.06989247311827956,0.016129032258064516,0.005376344086021506,0.34408602150537637,0.7415730337078652,0.015151515151515152,0.03535353535353535,2,อุบลราชธานี,2,ตำบลปะอาว,ตำบลปะอาว,1,constituency,-0.2450346337627528,0.44978505645990163
