chars,error,file,pages,status,total_seconds
12379,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 7\5 ทับ18.pdf,,SKIP,0.0
12448,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 8\5 ทับ 18 (บช).pdf,,SKIP,0.0
8530,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 8\5 ทับ 18.pdf,,SKIP,0.0
13534,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 9\5 ทับ 18 (บช).pdf,,SKIP,0.0
8601,,rawData\อำเภอเขื่องใน\ตำบลก่อเอ้\หน่วยเลือกตั้งที่ 9\5 ทับ 18.pdf,,SKIP,0.0
14515,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,,SKIP,0.0
8866,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,,SKIP,0.0
14781,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 10\5 ทับ 18 (บช).pdf,,SKIP,0.0
8581,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 10\5 ทับ 18.pdf,,SKIP,0.0
13515,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 11\5 ทับ 18 (บช).pdf,,SKIP,0.0
8405,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 11\5 ทับ 18.pdf,,SKIP,0.0
14135,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,,SKIP,0.0
8445,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,,SKIP,0.0
14639,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 3\5 ทับ 18 (บช).pdf,,SKIP,0.0
8502,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 3\5 ทับ 18.pdf,,SKIP,0.0
14156,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 4\5 ทับ 18 (บช).pdf,,SKIP,0.0
8104,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 4\5 ทับ 18.pdf,,SKIP,0.0
13660,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 5\5 ทับ 18 (บช).pdf,,SKIP,0.0
8970,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 5\5 ทับ 18.pdf,,SKIP,0.0
14092,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 6\5 ทับ 18 (บช).pdf,,SKIP,0.0
8266,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 6\5 ทับ 18.pdf,,SKIP,0.0
14747,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 7\5 ทับ 18 (บช).pdf,,SKIP,0.0
8243,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 7\5 ทับ 18.pdf,,SKIP,0.0
14236,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 8\5 ทับ 18 (บช).pdf,,SKIP,0.0
8794,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 8\5 ทับ 18.pdf,,SKIP,0.0
14549,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 9\5 ทับ 18 (บช).pdf,,SKIP,0.0
8245,,rawData\อำเภอเขื่องใน\ตำบลค้อทอง\หน่วยเลือกตั้งที่ 9\5 ทับ 18.pdf,,SKIP,0.0
13252,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,,SKIP,0.0
9024,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,,SKIP,0.0
14681,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,,SKIP,0.0
8747,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,,SKIP,0.0
14638,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,,SKIP,0.0
9095,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,,SKIP,0.0
12355,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,,SKIP,0.0
9374,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,,SKIP,0.0
13671,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,,SKIP,0.0
9441,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,,SKIP,0.0
12579,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,,SKIP,0.0
8706,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,,SKIP,0.0
15151,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,,SKIP,0.0
9337,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,,SKIP,0.0
15123,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,,SKIP,0.0
8907,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,,SKIP,0.0
14097,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,,SKIP,0.0
8784,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,,SKIP,0.0
13196,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,,SKIP,0.0
8618,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,,SKIP,0.0
14849,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,,SKIP,0.0
9003,,rawData\อำเภอเขื่องใน\ตำบลชีทวน\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,,SKIP,0.0
8372,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 1\50ทับ18.pdf,,SKIP,0.0
13129,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,,SKIP,0.0
12857,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,,SKIP,0.0
8426,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,,SKIP,0.0
13783,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,,SKIP,0.0
8362,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,,SKIP,0.0
12921,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 12\5 ทับ 18 (บช).pdf,,SKIP,0.0
8221,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 12\5 ทับ 18.pdf,,SKIP,0.0
13679,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 13\5 ทับ 18 (บช).pdf,,SKIP,0.0
8892,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 13\5 ทับ 18.pdf,,SKIP,0.0
11566,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,,SKIP,0.0
9131,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,,SKIP,0.0
35715,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,,SKIP,0.0
8201,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,,SKIP,0.0
14134,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,,SKIP,0.0
8436,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,,SKIP,0.0
13799,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,,SKIP,0.0
8460,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,,SKIP,0.0
29659,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,,SKIP,0.0
7816,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,,SKIP,0.0
13743,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,,SKIP,0.0
8237,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,,SKIP,0.0
14446,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,,SKIP,0.0
8547,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,,SKIP,0.0
13275,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,,SKIP,0.0
9107,,rawData\อำเภอเขื่องใน\ตำบลท่าไห\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,,SKIP,0.0
13948,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,,SKIP,0.0
8662,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,,SKIP,0.0
16033,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,,SKIP,0.0
8635,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,,SKIP,0.0
13900,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,,SKIP,0.0
9021,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,,SKIP,0.0
13021,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,,SKIP,0.0
8314,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,,SKIP,0.0
13817,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,,SKIP,0.0
8431,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,,SKIP,0.0
14076,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,,SKIP,0.0
8723,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,,SKIP,0.0
33294,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,,SKIP,0.0
8408,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,,SKIP,0.0
14897,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,,SKIP,0.0
8668,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,,SKIP,0.0
14968,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,,SKIP,0.0
8610,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,,SKIP,0.0
12619,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,,SKIP,0.0
8677,,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,,SKIP,0.0
14340,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 1\5 ทับ 18 (บช).pdf,,SKIP,0.0
8494,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 1\5 ทับ 18.pdf,,SKIP,0.0
14123,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 2\5 ทับ 18 (บช).pdf,,SKIP,0.0
7658,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 2\5 ทับ 18.pdf,,SKIP,0.0
12872,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,,SKIP,0.0
8578,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,,SKIP,0.0
14722,,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,,SKIP,0.0
