province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,ไทยทรัพย์ทวี_votes,ไทยทรัพย์ทวี_votes_th,เพื่อชาติไทย_votes,เพื่อชาติไทย_votes_th,ใหม่_votes,ใหม่_votes_th,มิติใหม่_votes,มิติใหม่_votes_th,รวมใจไทย_votes,รวมใจไทย_votes_th,รวมไทยสร้างชาติ_votes,รวมไทยสร้างชาติ_votes_th,พลวัต_votes,พลวัต_votes_th,ประชาธิปไตยใหม่_votes,ประชาธิปไตยใหม่_votes_th,เพื่อไทย_votes,เพื่อไทย_votes_th,ทางเลือกใหม่_votes,ทางเลือกใหม่_votes_th,เศรษฐกิจ_votes,เศรษฐกิจ_votes_th,เสรีรวมไทย_votes,เสรีรวมไทย_votes_th,รวมพลังประชาชน_votes,รวมพลังประชาชน_votes_th,ท้องที่ไทย_votes,ท้องที่ไทย_votes_th,อนาคตไทย_votes,อนาคตไทย_votes_th,พลังเพื่อไทย_votes,พลังเพื่อไทย_votes_th,ไทยชนะ_votes,ไทยชนะ_votes_th,พลังสังคมใหม่_votes,พลังสังคมใหม่_votes_th,สังคมประชาธิปไตยไทย_votes,สังคมประชาธิปไตยไทย_votes_th,ฟิวชัน_votes,ฟิวชัน_votes_th,ไทรวมพลัง_votes,ไทรวมพลัง_votes_th,ก้าวอิสระ_votes,ก้าวอิสระ_votes_th,ปวงชนไทย_votes,ปวงชนไทย_votes_th,วิชชั่นใหม่_votes,วิชชั่นใหม่_votes_th,เพื่อชีวิตใหม่_votes,เพื่อชีวิตใหม่_votes_th,คลองไทย_votes,คลองไทย_votes_th,ประชาธิปัตย์_votes,ประชาธิปัตย์_votes_th,ไทยก้าวหน้า_votes,ไทยก้าวหน้า_votes_th,ไทยภักดี_votes,ไทยภักดี_votes_th,แรงงานสร้างชาติ_votes,แรงงานสร้างชาติ_votes_th,ประชากรไทย_votes,ประชากรไทย_votes_th,ครูไทยเพื่อประชาชน_votes,ครูไทยเพื่อประชาชน_votes_th,ประชาชาติ_votes,ประชาชาติ_votes_th,สร้างอนาคตไทย_votes,สร้างอนาคตไทย_votes_th,รักชาติ_votes,รักชาติ_votes_th,ไทยพร้อม_votes,ไทยพร้อม_votes_th,ภูมิใจไทย_votes,ภูมิใจไทย_votes_th,พลังธรรมใหม่_votes,พลังธรรมใหม่_votes_th,กรีน_votes,กรีน_votes_th,ไทยธรรม_votes,ไทยธรรม_votes_th,แผ่นดินธรรม_votes,แผ่นดินธรรม_votes_th,กล้าธรรม_votes,กล้าธรรม_votes_th,พลังประชารัฐ_votes,พลังประชารัฐ_votes_th,โอกาสใหม่_votes,โอกาสใหม่_votes_th,เป็นธรรม_votes,เป็นธรรม_votes_th,ประชาชน_votes,ประชาชน_votes_th,ประชาไทย_votes,ประชาไทย_votes_th,ไทยสร้างไทย_votes,ไทยสร้างไทย_votes_th,ไทยก้าวใหม่_votes,ไทยก้าวใหม่_votes_th,ประชาอาสาชาติ_votes,ประชาอาสาชาติ_votes_th,พร้อม_votes,พร้อม_votes_th,เครือข่ายชาวนาแห่งประเทศไทย_votes,เครือข่ายชาวนาแห่งประเทศไทย_votes_th,ไทยพิทักษ์ธรรม_votes,ไทยพิทักษ์ธรรม_votes_th,ความหวังใหม่_votes,ความหวังใหม่_votes_th,ไทยรวมไทย_votes,ไทยรวมไทย_votes_th,เพื่อบ้านเมือง_votes,เพื่อบ้านเมือง_votes_th,พลังไทยรักชาติ_votes,พลังไทยรักชาติ_votes_th
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,10,party_list,985,,380,316,301,12,3,67,379,379,301,78,7,7,6,6,2,2,1,1,24,24,7,7,0,0,1,1,46,46,0,0,100,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,100,0,0,0,1,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,60,60,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,11,party_list,590,480,580,480,445,21,14,100,324,324,445,-121,13,13,3,3,1,1,2,2,20,20,8,8,0,0,0,0,73,73,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,56,56,0,0,0,0,0,0,0,0,41,0,1,1,0,0,1,1,95,95,0,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,12,party_list,481,403,470,403,380,12,11,77,361,361,380,-19,12,0,7,7,3,3,0,0,44,44,5,5,0,0,3,3,4,4,9,9,8,8,1,1,7,7,0,0,1,1,2,2,1,1,0,0,1,1,0,0,73,0,0,0,0,0,1,1,1,1,1,1,9,9,2,2,2,2,1,1,2,2,1,1,0,0,2,2,1,1,1,1,44,44,1,1,1,1,0,0,1,1,17,0,1,1,0,0,0,0,85,805,0,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,13,party_list,418,334,400,334,293,26,15,66,206,206,293,-87,11,0,10,10,1,1,1,1,16,16,4,4,0,0,1,1,67,67,2,2,0,0,0,0,5,5,0,0,0,0,3,3,0,0,0,0,1,1,1,1,65,65,0,0,0,0,0,0,0,0,12,12,0,0,1,1,0,0,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,15,party_list,402,328,400,328,314,5,9,72,350,350,314,36,12,12,3,3,3,3,4,4,18,18,8,8,0,0,2,2,67,67,0,0,14,14,0,0,6,1,0,0,1,1,3,3,0,0,0,0,0,0,2,2,74,74,1,1,0,0,1,1,0,0,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,1,53,58,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34,344
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,2,party_list,584,475,580,475,451,15,9,105,451,451,451,0,9,9,4,4,3,3,1,1,19,19,16,16,1,1,0,0,106,0,2,2,9,9,4,4,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,60,60,0,0,0,0,3,3,1,1,0,0,4,4,0,0,1,1,0,0,3,3,0,0,1,1,1,1,0,0,0,0,46,46,1,1,1,1,0,0,0,0,22,22,1,1,0,0,0,0,123,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,3,party_list,420,720,420,720,300,19,7,100,429,429,300,129,4,4,4,4,0,0,2,2,13,13,14,14,0,0,1,1,48,408,2,2,14,14,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,0,0,0,2,2,1,1,0,0,14,14,0,0,2,2,0,0,0,0,1,1,0,0,1,1,1,1,0,0,92,32,0,0,0,0,1,1,0,0,90,30,6,0,0,0,0,0,63,63,0,0,2,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,4,party_list,505,,520,418,397,41,10,102,302,302,397,-95,9,0,3,3,2,2,2,2,14,14,6,6,0,0,5,5,43,43,2,2,11,0,2,2,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,42,0,0,0,1,1,0,0,0,0,1,1,3,3,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,34,34,2,2,0,0,1,1,0,0,12,12,1,1,0,0,0,0,84,84,1,1,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,6,6,2,2
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,6,party_list,523,476,415,415,415,19,,84,407,407,415,-8,0,0,5,5,0,0,1,1,20,20,4,4,0,0,1,1,66,66,0,0,10,10,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,21,0,1,1,0,0,0,0,1,1,6,6,0,0,0,0,96,96,0,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,7,party_list,643,486,640,486,457,17,12,154,286,286,457,-171,13,13,7,7,1,1,2,2,24,24,4,4,0,0,3,3,45,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,49,49,1,1,0,0,0,0,0,0,27,27,1,1,0,0,0,0,98,98,1,1,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
