province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,กล้าธรรม_votes,กล้าธรรม_votes_th,ภูมิใจไทย_votes,ภูมิใจไทย_votes_th,เพื่อไทย_votes,เพื่อไทย_votes_th,ประชาชน_votes,ประชาชน_votes_th,ไทรวมพลัง_votes,ไทรวมพลัง_votes_th,ประชาธิปไตยใหม่_votes,ประชาธิปไตยใหม่_votes_th,พลังประชารัฐ_votes,พลังประชารัฐ_votes_th,ประชาธิปัตย์_votes,ประชาธิปัตย์_votes_th,เศรษฐกิจ_votes,เศรษฐกิจ_votes_th,ไทยก้าวใหม่_votes,ไทยก้าวใหม่_votes_th
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,2,constituency,584,,580,475,460,6,9,105,463,463,460,3,142,0,6,6,12,12,51,0,242,242,3,3,3,0,1,3,3,0,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,3,constituency,420,920,420,920,313,1,6,100,313,313,313,0,145,0,8,8,12,12,28,28,109,0,2,2,0,0,1,1,6,6,2,2
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,4,constituency,525,,520,418,400,10,6,102,400,400,400,0,113,0,10,10,8,8,45,45,211,0,2,2,0,0,5,5,6,6,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,5,constituency,680,,680,517,498,12,7,163,498,498,498,0,152,0,8,8,30,30,42,42,256,256,1,1,1,1,4,4,4,4,0,0
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,7,constituency,643,,640,486,461,14,11,154,461,461,461,0,148,0,10,10,7,7,62,62,226,226,0,0,0,0,1,1,6,6,1,1
อุบลราชธานี,2,ตำบลหัวเรือ,ตำบลหัวเรือ,8,constituency,385,,380,316,307,6,2,64,308,308,307,1,45,45,0,0,7,7,26,26,223,223,2,2,0,0,0,0,5,5,0,0
อุบลราชธานี,2,ตำบลเขื่องใน,เขตตำบลเขื่องใน,10,constituency,727,480,920,480,466,14,,240,416,416,466,-50,239,239,0,0,9,9,21,0,129,0,15,15,0,0,0,0,2,2,1,1
อุบลราชธานี,2,ตำบลเขื่องใน,เขตตำบลเขื่องใน,12,constituency,522,350,520,350,342,7,1,190,342,342,342,0,99,99,2,2,3,3,11,0,221,0,6,6,0,0,0,0,0,0,0,0
อุบลราชธานี,2,ตำบลเขื่องใน,เขตตำบลเขื่องใน,7,constituency,405,291,400,291,278,3,10,109,278,278,278,0,184,0,1,1,0,0,30,30,61,0,1,1,0,0,0,0,1,1,0,0
อุบลราชธานี,2,ตำบลเขื่องใน,เขตตำบลเขื่องใน,8,constituency,902,608,900,608,587,22,1,292,585,585,587,-2,351,0,3,3,3,3,25,25,193,0,1,1,2,2,0,0,6,6,1,1
