province,province_number,district,subdistrict,station_number,บช_ก้าวไกล,บช_ชาติพัฒนากล้า,บช_ชาติไทยพัฒนา,บช_บัตรเสีย,บช_ประชาชาติ,บช_ประชาธิปัตย์,บช_ผู้มาใช้สิทธิ์,บช_ผู้มีสิทธิ์,บช_พลังประชารัฐ,บช_ภูมิใจไทย,บช_รวมไทยสร้างชาติ,บช_เพื่อไทย,บช_เสรีรวมไทย,บช_ไทยสร้างไทย,บช_ไม่เลือกผู้ใด
อุบลราชธานี,2,เขื่องใน,ท่าไห,11.0,61,0,0,18,0,44,292,592,1,3,15,107,2,4,1
อุบลราชธานี,2,เขื่องใน,ท่าไห,12.0,41,1,0,6,1,49,260,645,1,0,3,116,4,1,7
อุบลราชธานี,2,เขื่องใน,ท่าไห,13.0,51,1,0,10,1,24,235,460,2,0,8,94,2,0,4
อุบลราชธานี,2,เขื่องใน,ท่าไห,2.0,22,1,1,9,1,33,139,290,1,4,6,49,0,0,0
อุบลราชธานี,2,เขื่องใน,ท่าไห,3.0,46,14,0,13,1,55,250,545,4,1,18,82,1,0,0
อุบลราชธานี,2,เขื่องใน,ท่าไห,4.0,51,1,1,13,0,44,246,619,1,2,12,83,2,0,6
อุบลราชธานี,2,เขื่องใน,ท่าไห,5.0,60,0,0,19,1,42,329,571,2,1,13,153,0,2,0
อุบลราชธานี,2,เขื่องใน,ท่าไห,6.0,64,1,0,8,0,37,310,604,1,4,14,138,1,0,1
อุบลราชธานี,2,เขื่องใน,ท่าไห,7.0,44,0,0,13,0,64,233,514,3,0,4,83,1,0,1
อุบลราชธานี,2,เขื่องใน,ท่าไห,8.0,39,1,0,9,2,49,286,560,2,5,20,104,1,2,4
อุบลราชธานี,2,เขื่องใน,ท่าไห,9.0,45,0,0,8,0,44,221,412,3,1,5,84,2,0,2
อุบลราชธานี,2,เขื่องใน,ธาตุน้อย,1.0,101,1,0,12,0,62,322,539,1,0,7,106,1,0,4
อุบลราชธานี,2,เขื่องใน,ธาตุน้อย,10.0,79,0,0,30,0,25,401,699,3,5,16,182,2,3,6
