province,province_number,district,subdistrict,station_number,บช_ก้าวไกล,บช_ชาติพัฒนากล้า,บช_ชาติไทยพัฒนา,บช_บัตรเสีย,บช_ประชาชาติ,บช_ประชาธิปัตย์,บช_ผู้มาใช้สิทธิ์,บช_ผู้มีสิทธิ์,บช_พลังประชารัฐ,บช_ภูมิใจไทย,บช_รวมไทยสร้างชาติ,บช_เพื่อไทย,บช_เสรีรวมไทย,บช_ไทยสร้างไทย,บช_ไม่เลือกผู้ใด
อุบลราชธานี,2,เมืองอุบลราชธานี,ขี้เหล็ก,4.0,166,0,1,18,1,36,499,626,0,8,22,190,5,2,7
อุบลราชธานี,2,เมืองอุบลราชธานี,ขี้เหล็ก,5.0,163,0,0,23,2,34,501,570,2,1,21,190,6,3,8
อุบลราชธานี,2,เมืองอุบลราชธานี,ขี้เหล็ก,6.0,219,0,1,21,2,44,605,765,2,10,33,198,2,4,7
อุบลราชธานี,2,เมืองอุบลราชธานี,ขี้เหล็ก,7.0,102,0,1,10,0,7,318,390,0,2,18,145,3,3,3
อุบลราชธานี,2,เมืองอุบลราชธานี,ขี้เหล็ก,8.0,166,0,0,18,2,37,455,549,1,7,30,127,2,15,14
อุบลราชธานี,2,เมืองอุบลราชธานี,ขี้เหล็ก,9.0,87,1,0,11,0,35,281,322,3,1,14,101,2,1,3
อุบลราชธานี,2,เมืองอุบลราชธานี,ปะอาว,1.0,56,0,0,6,0,15,206,269,1,0,13,91,2,1,0
อุบลราชธานี,2,เมืองอุบลราชธานี,ปะอาว,2.0,64,0,0,6,0,18,287,361,1,1,10,165,2,0,0
อุบลราชธานี,2,เมืองอุบลราชธานี,ปะอาว,3.0,90,1,0,10,0,27,417,634,2,1,20,224,2,2,4
อุบลราชธานี,2,เมืองอุบลราชธานี,ปะอาว,4.0,87,0,0,6,0,20,295,401,1,2,12,138,2,0,1
อุบลราชธานี,2,เมืองอุบลราชธานี,ปะอาว,5.0,116,0,0,23,2,18,474,475,1,4,12,256,1,1,1
อุบลราชธานี,2,เมืองอุบลราชธานี,ปะอาว,6.0,64,0,0,18,0,13,281,465,1,2,8,141,3,0,2
อุบลราชธานี,2,เมืองอุบลราชธานี,ปะอาว,7.0,80,1,0,16,1,21,329,469,4,4,15,165,2,1,3
อุบลราชธานี,2,เมืองอุบลราชธานี,ปะอาว,8.0,95,0,0,18,0,5,417,575,3,6,14,163,3,0,0
อุบลราชธานี,2,เมืองอุบลราชธานี,ปะอาว,9.0,73,0,1,16,0,13,291,433,4,3,18,133,4,0,3
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,1.0,90,0,0,10,0,48,322,402,0,5,31,107,4,0,1
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,10.0,204,0,0,4,1,40,602,811,8,5,25,217,4,4,17
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,11.0,166,1,0,12,2,25,459,592,7,8,34,132,8,1,12
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,12.0,83,1,1,10,0,39,338,388,4,1,30,116,0,14,4
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,13.0,61,0,0,10,0,29,236,285,1,2,16,92,1,1,2
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,14.0,72,0,0,5,0,16,265,332,1,2,19,104,6,0,9
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,15.0,61,0,0,7,1,11,224,285,0,1,10,115,0,3,0
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,2.0,160,0,0,23,1,0,484,593,3,5,35,137,56,3,6
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,3.0,216,1,0,20,0,59,702,841,6,9,46,222,5,5,35
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,4.0,122,1,0,15,1,40,375,475,2,5,31,91,10,1,6
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,5.0,100,0,0,12,0,28,356,462,0,6,18,160,3,2,7
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,6.0,135,0,1,15,0,15,395,570,2,6,28,151,4,1,8
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,7.0,132,1,0,17,0,15,411,534,1,4,33,172,5,3,5
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,8.0,161,0,0,15,0,18,384,493,4,1,14,141,1,5,7
อุบลราชธานี,2,เมืองอุบลราชธานี,หนองขอน,9.0,132,1,1,9,0,16,379,493,2,2,35,137,1,1,16
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,1.0,151,2,0,17,0,24,445,577,9,5,37,137,4,4,8
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,10.0,84,0,0,6,1,27,282,340,2,1,11,118,1,3,1
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,11.0,164,0,0,15,0,32,476,579,9,5,25,172,3,6,5
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,12.0,145,1,1,17,0,31,412,495,0,10,25,119,5,1,7
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,13.0,80,1,0,12,1,21,318,399,3,1,20,143,0,4,1
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,14.0,58,0,0,17,1,7,269,332,1,0,10,146,2,1,0
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,15.0,90,0,1,7,0,3,317,389,2,2,4,173,2,2,1
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,16.0,101,2,0,17,0,43,302,361,4,3,19,84,1,0,0
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,2.0,164,1,0,9,0,16,480,581,1,3,26,203,3,2,7
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,3.0,131,0,0,6,0,39,332,430,2,1,28,95,2,3,1
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,4.0,143,0,1,12,1,20,411,508,6,5,16,156,2,2,5
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,5.0,156,2,0,22,2,16,542,681,2,6,34,238,3,2,0
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,6.0,139,0,1,16,0,23,446,533,3,6,15,197,4,3,4
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,7.0,173,0,1,25,3,49,499,644,8,7,25,140,3,1,6
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,8.0,78,0,0,17,0,9,296,375,2,4,0,129,2,1,1
อุบลราชธานี,2,เมืองอุบลราชธานี,หัวเรือ,9.0,114,0,0,12,0,16,273,334,1,2,11,85,2,1,10
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,1.0,338,0,1,30,1,7,667,900,4,7,58,154,16,6,16
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,10.0,219,1,1,26,0,33,673,841,3,8,61,229,8,10,6
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,11.0,130,1,0,16,1,10,404,515,4,6,39,141,1,5,2
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,12.0,115,1,1,17,0,7,416,528,2,4,11,203,3,6,1
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,13.0,124,3,0,16,0,18,406,545,6,1,32,160,5,4,3
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,14.0,46,1,0,8,0,6,164,222,2,1,13,61,1,5,3
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,15.0,133,0,1,29,1,14,479,698,2,9,27,164,2,17,7
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,16.0,196,0,0,22,1,14,544,715,5,5,35,174,2,17,11
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,17.0,239,4,0,9,1,13,496,668,2,3,63,114,8,8,8
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,18.0,254,4,0,8,0,9,508,678,2,2,37,135,19,9,12
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,19.0,287,0,1,7,2,9,600,802,3,7,61,160,5,8,16
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,2.0,397,4,0,10,1,15,693,901,3,5,72,127,19,6,8
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,20.0,310,4,1,13,0,6,629,829,5,1,59,165,24,6,8
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,21.0,368,4,0,10,0,6,640,793,2,6,41,153,18,6,13
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,22.0,159,0,0,19,0,14,399,509,3,3,29,127,2,5,3
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,23.0,113,0,0,13,1,9,366,455,3,4,20,145,2,15,1
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,24.0,135,1,1,13,0,7,355,461,1,3,31,108,10,19,10
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,25.0,200,0,0,17,0,6,428,685,0,8,45,127,7,19,9
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,26.0,190,2,0,25,0,17,496,680,7,6,39,135,6,17,11
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,27.0,264,1,0,8,1,10,515,680,7,3,47,124,9,7,10
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,28.0,177,1,0,23,0,9,445,614,6,3,38,134,11,3,8
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,29.0,249,1,0,12,1,14,472,614,2,6,39,107,8,5,4
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,3.0,207,3,0,27,0,12,533,757,0,7,49,169,8,7,11
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,30.0,202,1,0,14,0,4,453,641,6,2,49,142,8,2,10
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,31.0,229,3,2,8,0,9,495,660,6,4,48,140,14,4,14
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,32.0,207,0,0,4,0,15,468,630,4,7,56,123,10,12,5
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,33.0,209,4,2,9,0,11,465,633,3,3,55,114,11,15,10
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,34.0,334,2,0,22,1,11,687,922,9,5,64,167,11,8,14
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,4.0,228,1,0,7,0,6,353,888,0,4,11,65,4,0,3
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,5.0,319,0,0,21,1,10,690,945,4,7,49,226,14,9,16
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,6.0,392,3,1,6,1,0,700,944,5,6,39,165,17,10,14
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,7.0,212,2,0,43,0,21,461,714,2,1,28,125,0,9,11
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,8.0,261,1,2,24,2,10,555,718,1,3,39,144,8,10,12
อุบลราชธานี,2,เมืองอุบลราชธานี,ไร่น้อย,9.0,95,0,1,17,0,4,260,341,0,5,28,81,5,6,4
อุบลราชธานี,2,,,,7,0,0,0,0,2,9,9,0,0,0,0,0,0,0
อุบลราชธานี,2,,,,474,0,0,9,1,22,754,780,1,3,34,201,8,1,17
อุบลราชธานี,2,,,,429,1,0,13,0,27,761,780,1,2,32,239,6,2,6
อุบลราชธานี,2,,,,479,0,2,7,2,30,771,780,1,3,37,194,7,2,2
อุบลราชธานี,2,,,,471,1,0,11,0,28,759,776,3,6,40,184,6,5,6
อุบลราชธานี,2,,,,450,1,0,9,0,27,765,780,4,4,36,220,4,1,6
อุบลราชธานี,2,,,,468,1,0,4,1,36,773,780,0,2,35,209,2,4,3
อุบลราชธานี,2,,,,492,2,0,6,0,20,795,810,3,3,40,206,9,4,9
อุบลราชธานี,2,,,,465,2,0,6,0,0,758,772,4,5,39,184,9,3,8
อุบลราชธานี,2,,,,522,0,0,9,0,24,760,780,2,1,27,171,4,3,11
