province,province_number,district,subdistrict,station_number,เขต_กรีน,เขต_ก้าวไกล,เขต_ครูไทยเพื่อประชาช,เขต_คลองไทย,เขต_ความหวังใหม่,เขต_ชาติพัฒนากล้า,เขต_ชาติรุ่งเรือง,เขต_ชาติไทยพัฒนา,เขต_ช่วยชาติ,เขต_ถิ่นกาขาวชาววิไล,เขต_ทางเลือกใหม่,เขต_ท้องที่ไทย,เขต_บัตรเสีย,เขต_ประชากรไทย,เขต_ประชาชาติ,เขต_ประชาธิปัตย์,เขต_ประชาธิปไตยใหม่,เขต_ประชาภิวัฒน์,เขต_ประชาสามัคคี,เขต_ประชาไทย,เขต_ผู้มาใช้สิทธิ์,เขต_ผู้มีสิทธิ์,เขต_พลัง,เขต_พลังธรรมใหม่,เขต_พลังบูรพา,เขต_พลังประชาธิปไตย,เขต_พลังประชารัฐ,เขต_พลังปวงชนไทย,เขต_พลังสยาม,เขต_พลังสหกรณ์,เขต_พลังสังคม,เขต_พลังสังคมใหม่,เขต_พลังเพื่อไทย,เขต_พลังไทยรักชาติ,เขต_ภราดรภาพ,เขต_ภาคีเครือข่ายไทย,เขต_ภูมิใจไทย,เขต_มิติใหม่,เขต_รวมพลัง,เขต_รวมแผ่นดิน,เขต_รวมใจไทย,เขต_รวมไทยสร้างชาติ,เขต_รักษ์ธรรม,เขต_รักษ์ผืนป่าประเทศ,เขต_ราษฎร์วิถี,เขต_สังคมประชาธิปไตยไ,เขต_สามัญชน,เขต_อนาคตไทย,เขต_เปลี่ยน,เขต_เปลี่ยนอนาคต,เขต_เป็นธรรม,เขต_เพื่อชาติ,เขต_เพื่อชาติไทย,เขต_เพื่ออนาคตไทย,เขต_เพื่อไทย,เขต_เพื่อไทรวมพลัง,เขต_เสมอภาค,เขต_เสรีรวมไทย,เขต_เส้นด้าย,เขต_แนวทางใหม่,เขต_แผ่นดินธรรม,เขต_แรงงานสร้างชาติ,เขต_ใหม่,เขต_ไทยก้าวหน้า,เขต_ไทยชนะ,เขต_ไทยธรรม,เขต_ไทยพร้อม,เขต_ไทยภักดี,เขต_ไทยรวมไทย,เขต_ไทยศรีวิไลย์,เขต_ไทยสมาร์ท,เขต_ไทยสร้างไทย,เขต_ไทยเป็นหนึ่ง,เขต_ไม่เลือกผู้ใด
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,2.0,,31.0,,0.0,,,,,,,,,7,,,73,,,,,204,304,,,,,5,0.0,,,,,,,,,2.0,,,,,0,,,,,,,,,,,,,82,,,0,,,,,,,,,,1.0,,0.0,,,,3
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,3.0,,20.0,,0.0,,,,,,,,,10,,,127,,,,,230,395,,,,,6,0.0,,,,,,,,,0.0,,,,,0,,,,,,,,,,,,,61,,,3,,,,,,,,,,0.0,,0.0,,,,3
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,4.0,,65.0,,2.0,,,,,,,,,14,,,167,,,,,372,607,,,,,8,0.0,,,,,,,,,4.0,,,,,0,,,,,,,,,,,,,101,,,0,,,,,,,,,,2.0,,3.0,,,,6
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,5.0,,29.0,,1.0,,,,,,,,,11,,,168,,,,,304,468,,,,,4,0.0,,,,,,,,,2.0,,,,,0,,,,,,,,,,,,,80,,,0,,,,,,,,,,1.0,,1.0,,,,7
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,6.0,,59.0,,1.0,,,,,,,,,23,,,247,,,,,626,917,,,,,30,1.0,,,,,,,,,0.0,,,,,0,,,,,,,,,,,,,260,,,0,,,,,,,,,,0.0,,0.0,,,,5
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,7.0,,19.0,,0.0,,,,,,,,,18,,,193,,,,,422,578,,,,,9,0.0,,,,,,,,,21.0,,,,,0,,,,,,,,,,,,,151,,,1,,,,,,,,,,1.0,,0.0,,,,9
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,8.0,,26.0,,0.0,,,,,,,,,28,,,216,,,,,428,515,,,,,4,0.0,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,133,,,4,,,,,,,,,,1.0,,3.0,,,,12
อุบลราชธานี,2,เขื่องใน,ก่อเอ้,9.0,,26.0,,1.0,,,,,,,,,26,,,326,,,,,491,650,,,,,8,0.0,,,,,,,,,0.0,,,,,0,,,,,,,,,,,,,81,,,3,,,,,,,,,,2.0,,6.0,,,,12
อุบลราชธานี,2,เขื่องใน,ค้อทอง,1.0,,34.0,,0.0,,,,,,,,,14,,,81,,,,,294,411,,,,,5,1.0,,,,,,,,,0.0,,,,,0,,,,,,,,,,,,,151,,,2,,,,,,,,,,2.0,,1.0,,,,3
อุบลราชธานี,2,เขื่องใน,ค้อทอง,10.0,,40.0,,0.0,,,,,,,,,16,,,84,,,,,425,719,,,,,4,0.0,,,,,,,,,2.0,,,,,0,,,,,,,,,,,,,273,,,1,,,,,,,,,,2.0,,1.0,,,,2
